DATE,TIME,VCUR_ROT_int,UCUR_ROT_int,UCURrot_17m,VCURrot_17m,UCURrot_53m,VCURrot_53m
2016-03-01,736390.4167,-0.236,-0.026,-0.027,-0.222,-0.029,-0.225
2016-03-02,736391.4167,-0.404,-0.009, 0.016,-0.443,-0.052,-0.351
2016-03-03,736392.4167,-0.514,-0.004,-0.002,-0.656,-0.063,-0.413
2016-03-04,736393.4167,-0.460,-0.004, 0.007,-0.642,-0.048,-0.351
2016-03-05,736394.4167,-0.465,-0.005, 0.008,-0.600,-0.033,-0.367
2016-03-06,736395.4167,-0.348,-0.016,-0.026,-0.561,-0.022,-0.215
2016-03-07,736396.4167,-0.441,-0.006, 0.012,-0.554,-0.034,-0.366
2016-03-08,736397.4167,-0.471,-0.008, 0.010,-0.588,-0.016,-0.395
2016-03-09,736398.4167,-0.520,-0.003, 0.047,-0.568,-0.050,-0.467
2016-03-10,736399.4167,-0.355, 0.003, 0.043,-0.376,-0.055,-0.342
2016-03-11,736400.4167,-0.414, 0.001, 0.039,-0.428,-0.051,-0.388
2016-03-12,736401.4167,-0.504,-0.010, 0.066,-0.494,-0.084,-0.484
2016-03-13,736402.4167,-0.408,-0.011,-0.022,-0.578,-0.050,-0.327
2016-03-14,736403.4167,-0.272, 0.020, 0.045,-0.391,-0.012,-0.194
2016-03-15,736404.4167,-0.277, 0.025, 0.082,-0.383,-0.001,-0.200
2016-03-16,736405.4167,-0.228, 0.020, 0.031,-0.345, 0.023,-0.104
2016-03-17,736406.4167,-0.173,-0.030,-0.043,-0.244,-0.012,-0.087
2016-03-18,736407.4167,-0.160,-0.010,-0.008,-0.170,-0.018,-0.164
2016-03-19,736408.4167,-0.161, 0.015, 0.023,-0.270, 0.033,-0.080
2016-03-20,736409.4167,-0.016, 0.023, 0.058,-0.197, 0.017, 0.066
2016-03-21,736410.4167,-0.023,-0.007,-0.022,-0.102, 0.013, 0.021
2016-03-22,736411.4167, 0.211,-0.032,-0.048, 0.188, 0.014, 0.206
2016-03-23,736412.4167,-0.040,-0.021,-0.030,-0.052,-0.009,-0.085
2016-03-24,736413.4167,-0.266,-0.006, 0.021,-0.261,-0.033,-0.265
2016-03-25,736414.4167,-0.287, 0.004, 0.043,-0.482,-0.020,-0.169
2016-03-26,736415.4167,-0.245, 0.011, 0.033,-0.452, 0.023,-0.049
2016-03-27,736416.4167,-0.222,-0.003,-0.000,-0.347,-0.001,-0.086
2016-03-28,736417.4167,-0.242,-0.016,-0.013,-0.230,-0.008,-0.183
2016-03-29,736418.4167,-0.310,-0.009,-0.008,-0.362,-0.021,-0.225
2016-03-30,736419.4167,-0.504, 0.013, 0.011,-0.691,-0.015,-0.319
2016-03-31,736420.4167,-0.521,-0.006, 0.022,-0.732,-0.031,-0.339
2016-04-01,736421.4167,-0.577, 0.002, 0.059,-0.807,-0.082,-0.408
2016-04-02,736422.4167,-0.462,-0.017,-0.018,-0.685,-0.031,-0.285
2016-04-03,736423.4167,-0.235,-0.016,-0.045,-0.334,-0.011,-0.198
2016-04-04,736424.4167,-0.290, 0.001, 0.005,-0.517,-0.013,-0.169
2016-04-05,736425.4167,-0.412, 0.004, 0.006,-0.542, 0.010,-0.218
2016-04-06,736426.4167,-0.068,-0.024,-0.064,-0.197,-0.007, 0.041
2016-04-07,736427.4167, 0.133,-0.013,-0.023, 0.094,-0.023, 0.131
2016-04-08,736428.4167, 0.254,-0.006,-0.020, 0.293, 0.008, 0.224
2016-04-09,736429.4167, 0.262,-0.054,-0.057, 0.354,-0.041, 0.145
2016-04-10,736430.4167,-0.077,-0.000,-0.001,-0.158,-0.013,-0.038
2016-04-11,736431.4167,-0.007, 0.056, 0.138,-0.133,-0.010, 0.086
2016-04-12,736432.4167, 0.158,-0.017,-0.030, 0.216, 0.008, 0.076
2016-04-13,736433.4167, 0.085, 0.010, 0.035, 0.151,-0.008, 0.013
2016-04-14,736434.4167,-0.061,-0.027,-0.022,-0.047,-0.008,-0.081
2016-04-15,736435.4167,-0.187,-0.009, 0.046,-0.250,-0.045,-0.149
2016-04-16,736436.4167,-0.054,-0.029,-0.036,-0.175,-0.019, 0.061
2016-04-17,736437.4167,-0.039,-0.015,-0.055,-0.106, 0.016, 0.018
2016-04-18,736438.4167,-0.022,-0.003, 0.005,-0.055, 0.018,-0.020
2016-04-19,736439.4167,-0.083,-0.001,-0.008,-0.133,-0.002,-0.054
2016-04-20,736440.4167,-0.086, 0.009, 0.026,-0.176,-0.003, 0.000
2016-04-21,736441.4167,-0.150,-0.006, 0.012,-0.230,-0.006,-0.056
2016-04-22,736442.4167, 0.006, 0.013,-0.001,-0.037, 0.018, 0.030
2016-04-23,736443.4167, 0.278, 0.002,-0.026, 0.280, 0.025, 0.265
2016-04-24,736444.4167, 0.100,-0.006, 0.018, 0.095,-0.031, 0.108
2016-04-25,736445.4167,-0.031,-0.021, 0.024,-0.036,-0.041,-0.025
2016-04-26,736446.4167,-0.093,-0.011, 0.016,-0.127,-0.045,-0.049
2016-04-27,736447.4167,-0.157,-0.007, 0.011,-0.239,-0.017,-0.071
2016-04-28,736448.4167,-0.169,-0.007,-0.007,-0.323,-0.003,-0.044
2016-04-29,736449.4167,-0.144, 0.005, 0.014,-0.337,-0.001, 0.001
2016-04-30,736450.4167,-0.133, 0.007, 0.008,-0.311, 0.020, 0.025
2016-05-01,736451.4167,-0.032, 0.001, 0.007,-0.186, 0.008, 0.048
2016-05-02,736452.4167, 0.047, 0.001, 0.023,-0.019,-0.015, 0.080
2016-05-03,736453.4167, 0.114,-0.017,-0.052, 0.130, 0.029, 0.089
2016-05-04,736454.4167, 0.197, 0.002, 0.027, 0.245,-0.007, 0.145
2016-05-05,736455.4167, 0.248,-0.017,-0.023, 0.215, 0.034, 0.226
2016-05-06,736456.4167, 0.045, 0.017, 0.018, 0.039, 0.025, 0.037
2016-05-07,736457.4167,-0.001, 0.029, 0.061,-0.015, 0.008, 0.015
2016-05-08,736458.4167,-0.040, 0.004,-0.005,-0.035, 0.008,-0.040
2016-05-09,736459.4167,-0.179,-0.009, 0.035,-0.203,-0.043,-0.172
2016-05-10,736460.4167,-0.062, 0.003, 0.010,-0.150, 0.022, 0.016
2016-05-11,736461.4167, 0.055, 0.017, 0.045,-0.012, 0.018, 0.085
2016-05-12,736462.4167, 0.198,-0.016,-0.026, 0.181, 0.035, 0.199
2016-05-13,736463.4167, 0.252, 0.022, 0.019, 0.260, 0.043, 0.229
2016-05-14,736464.4167, 0.196, 0.044,-0.009, 0.230, 0.081, 0.163
2016-05-15,736465.4167, 0.044, 0.004,-0.010, 0.048, 0.013, 0.023
2016-05-16,736466.4167,-0.024, 0.009, 0.009,-0.036, 0.034,-0.023
2016-05-17,736467.4167,-0.063, 0.006, 0.015,-0.092,-0.008,-0.055
2016-05-18,736468.4167, 0.030, 0.001,-0.017, 0.020, 0.016, 0.033
2016-05-19,736469.4167,-0.129,-0.020,-0.045,-0.167, 0.014,-0.107
2016-05-20,736470.4167,-0.111, 0.031, 0.012,-0.179, 0.028,-0.062
2016-05-21,736471.4167,-0.000, 0.010,-0.011,-0.031, 0.032, 0.035
2016-05-22,736472.4167,-0.299,-0.023, 0.005,-0.298,-0.069,-0.290
2016-05-23,736473.4167, 0.011,-0.001,-0.014,-0.032, 0.001, 0.023
2016-05-24,736474.4167, 0.315, 0.020,-0.020, 0.356, 0.058, 0.271
2016-05-25,736475.4167, 0.251, 0.013, 0.025, 0.263, 0.036, 0.188
2016-05-26,736476.4167,-0.046, 0.020, 0.046,-0.040,-0.003,-0.051
2016-05-27,736477.4167,-0.084, 0.013, 0.017,-0.110, 0.009,-0.054
2016-05-28,736478.4167,-0.081,-0.011,-0.007,-0.082,-0.018,-0.079
2016-05-29,736479.4167,-0.180,-0.005,-0.006,-0.215,-0.015,-0.160
2016-05-30,736480.4167,-0.093, 0.024, 0.036,-0.225, 0.013,-0.001
2016-05-31,736481.4167,-0.115,-0.005, 0.001,-0.222,-0.019,-0.060
2016-06-01,736482.4167,-0.174, 0.004, 0.005,-0.251, 0.009,-0.113
2016-06-02,736483.4167,-0.387, 0.005, 0.026,-0.501,-0.033,-0.320
2016-06-03,736484.4167,-0.435,-0.008, 0.014,-0.619,-0.062,-0.356
2016-06-04,736485.4167,-0.528,-0.010, 0.045,-0.697,-0.103,-0.398
2016-06-05,736486.4167,-0.415,-0.032, 0.010,-0.434,-0.118,-0.388
2016-06-06,736487.4167,-0.363,-0.001, 0.012,-0.368,-0.042,-0.365
2016-06-07,736488.4167,-0.361,-0.000, 0.009,-0.444,-0.035,-0.342
2016-06-08,736489.4167,-0.416,-0.010, 0.014,-0.508,-0.048,-0.359
2016-06-09,736490.4167,-0.357,-0.005,-0.005,-0.496,-0.026,-0.279
2016-06-10,736491.4167,-0.399,-0.003, 0.003,-0.594,-0.017,-0.270
2016-06-11,736492.4167,-0.231,-0.011,-0.075,-0.362, 0.020,-0.096
2016-06-12,736493.4167,-0.182,-0.012,-0.020,-0.205,-0.003,-0.128
2016-06-13,736494.4167,-0.301,-0.029,-0.018,-0.326,-0.040,-0.259
2016-06-14,736495.4167,-0.111, 0.015, 0.024,-0.161, 0.013,-0.059
2016-06-15,736496.4167,-0.043, 0.017, 0.024,-0.106, 0.026,-0.027
2016-06-16,736497.4167,-0.235,-0.008,-0.005,-0.332,-0.025,-0.169
2016-06-17,736498.4167,-0.417,-0.008,-0.005,-0.580,-0.035,-0.326
2016-06-18,736499.4167,-0.323,-0.010, 0.007,-0.468,-0.031,-0.220
2016-06-19,736500.4167,-0.275,-0.007, 0.007,-0.432,-0.022,-0.175
2016-06-20,736501.4167,-0.153,-0.011,-0.017,-0.243,-0.024,-0.112
2016-06-21,736502.4167,-0.075, 0.000, 0.009,-0.094,-0.006,-0.064
2016-06-22,736503.4167, 0.088,-0.009,-0.031, 0.098, 0.017, 0.054
2016-06-23,736504.4167, 0.043,-0.037,-0.013, 0.094,-0.045, 0.008
2016-06-24,736505.4167, 0.003,-0.049,-0.105,-0.020, 0.014, 0.026
2016-06-25,736506.4167, 0.031,-0.009,-0.049,-0.044,-0.012, 0.103
2016-06-26,736507.4167,-0.038,-0.004,-0.019,-0.092,-0.010, 0.022
2016-06-27,736508.4167,-0.087,-0.009,-0.046,-0.120, 0.026,-0.038
2016-06-28,736509.4167,-0.087,-0.006,-0.026,-0.121, 0.015,-0.038
2016-06-29,736510.4167,-0.156, 0.010,-0.012,-0.215, 0.027,-0.095
2016-06-30,736511.4167,-0.116,-0.010,-0.006,-0.151,-0.024,-0.082
2016-07-01,736512.4167, 0.055,-0.011,-0.035, 0.043, 0.026, 0.081
2016-07-02,736513.4167, 0.094,-0.000,-0.043, 0.043, 0.035, 0.125
2016-07-03,736514.4167,-0.027,-0.002,-0.015,-0.060, 0.003,-0.007
