Date_UTC_Time,Sea_Level,Water_Temperature,Air_Temperature,Barometric_Pressure,Residuals,Adjusted_Residuals,Wind_Direction,Wind_Gust,Wind_Speed,Port_Kembla
01-Jan-2016 00:00,0.983,21.6,21.5,1014.6,-0.085,-0.073,53,6.5,4.7,
01-Jan-2016 01:00,1.155,21.7,21.4,1014.4,-0.075,-0.063,49,7.6,5.5,
01-Jan-2016 02:00,1.272,22,21.7,1013.7,-0.067,-0.055,47,8.2,5.7,
01-Jan-2016 03:00,1.3,22.2,21.8,1013.4,-0.062,-0.058,42,8.5,5.6,
01-Jan-2016 04:00,1.22,22.3,21.8,1013.1,-0.066,-0.064,42,8.2,5.4,
01-Jan-2016 05:00,1.049,22.4,21.8,1012.5,-0.074,-0.076,46,7.9,4.8,
01-Jan-2016 06:00,0.833,22.1,21.8,1012.1,-0.084,-0.092,45,7.5,4.7,
01-Jan-2016 07:00,0.623,22.5,21.8,1012.2,-0.091,-0.102,39,6.9,4.3,
01-Jan-2016 08:00,0.449,22.6,21.6,1012.5,-0.105,-0.115,41,6.2,4.3,
01-Jan-2016 09:00,0.355,22.6,21.2,1013.3,-0.113,-0.119,37,5.6,3.5,
01-Jan-2016 10:00,0.363,22.7,21.2,1013.7,-0.112,-0.111,43,4.5,2.7,
01-Jan-2016 11:00,0.472,22.6,21,1014.2,-0.101,-0.096,32,4.4,2.4,
01-Jan-2016 12:00,0.643,22.4,20.8,1013.8,-0.094,-0.084,4,3.5,1.2,
01-Jan-2016 13:00,0.844,21.7,20.5,1013.3,-0.079,-0.075,329,2.7,2.1,
01-Jan-2016 14:00,1.025,21.3,20.3,1013.1,-0.069,-0.069,343,3,1.6,
01-Jan-2016 15:00,1.151,21.2,20.1,1012.3,-0.061,-0.063,331,2.8,2.3,
01-Jan-2016 16:00,1.185,22,19.9,1011.8,-0.063,-0.073,339,3,1.6,
01-Jan-2016 17:00,1.133,22.2,19.1,1011.6,-0.064,-0.079,250,2.9,1.7,
01-Jan-2016 18:00,1.01,22.1,18.8,1011.6,-0.07,-0.086,224,2.9,1.4,
01-Jan-2016 19:00,0.865,22.1,18.7,1011.6,-0.072,-0.089,248,3.4,1.1,
01-Jan-2016 20:00,0.727,21.9,19.5,1011.9,-0.081,-0.097,71,1.4,0.4,
01-Jan-2016 21:00,0.644,21.7,20.2,1012.3,-0.079,-0.092,66,2.2,0.9,
01-Jan-2016 22:00,0.621,21.8,20.2,1012.5,-0.086,-0.095,71,2.7,1.7,
01-Jan-2016 23:00,0.681,21.6,20.3,1012.5,-0.089,-0.097,69,3.1,2.1,
02-Jan-2016 00:00,0.806,21.8,20.4,1012.7,-0.086,-0.093,68,3.1,2.1,
02-Jan-2016 01:00,0.96,21.3,20.9,1012.8,-0.08,-0.085,91,2.6,1.4,
02-Jan-2016 02:00,1.099,21.4,21.1,1012.8,-0.074,-0.078,117,2.5,1.9,
02-Jan-2016 03:00,1.196,21.3,21.3,1012.5,-0.061,-0.066,121,3.5,2.7,
02-Jan-2016 04:00,1.204,21.3,21.7,1012.1,-0.062,-0.07,114,3.3,2.4,
02-Jan-2016 05:00,1.129,21.3,21.5,1011.9,-0.059,-0.071,126,4,3,
02-Jan-2016 06:00,0.988,21.7,21.7,1011.7,-0.053,-0.067,132,4.7,2.9,
02-Jan-2016 07:00,0.8,21.7,21.5,1011.9,-0.06,-0.075,137,4.9,3,
02-Jan-2016 08:00,0.621,21.6,21.6,1012.4,-0.065,-0.078,171,4.9,1.7,
02-Jan-2016 09:00,0.486,21.3,21.3,1012.9,-0.068,-0.076,162,4,1.8,
02-Jan-2016 10:00,0.43,21.3,21.1,1013,-0.063,-0.066,175,3.9,1.5,
02-Jan-2016 11:00,0.456,21.1,20.8,1013.7,-0.062,-0.064,168,3.8,1.2,
02-Jan-2016 12:00,0.557,21.1,20.5,1013.8,-0.07,-0.066,214,3.1,1.6,
02-Jan-2016 13:00,0.726,21,20.3,1014.1,-0.067,-0.061,223,3.1,1.4,
02-Jan-2016 14:00,0.926,21,20,1013.4,-0.052,-0.044,220,3,1.8,
02-Jan-2016 15:00,1.091,21,19.9,1013.1,-0.053,-0.051,234,3.1,2.1,
02-Jan-2016 16:00,1.199,21,19.6,1012.7,-0.055,-0.057,256,3.2,2.4,
02-Jan-2016 17:00,1.229,21,19.8,1012.7,-0.053,-0.058,221,3.4,2.2,
02-Jan-2016 18:00,1.172,21,19.6,1013,-0.053,-0.059,222,4.2,2.3,
02-Jan-2016 19:00,1.051,20.9,19.6,1013.3,-0.057,-0.059,230,3.9,2.4,
02-Jan-2016 20:00,0.902,20.9,20,1013.8,-0.061,-0.06,225,3.9,3,
02-Jan-2016 21:00,0.771,20.9,20.7,1014.8,-0.058,-0.051,192,6,2.2,
02-Jan-2016 22:00,0.675,21,21.1,1015.4,-0.061,-0.045,200,6,3.2,
02-Jan-2016 23:00,0.647,21.1,21.9,1015.6,-0.062,-0.04,164,6.1,3.1,
03-Jan-2016 00:00,0.695,20.8,22.1,1015.7,-0.059,-0.036,163,6.6,3.6,
03-Jan-2016 01:00,0.812,20.8,22.4,1015.5,-0.045,-0.021,154,6.7,2.9,
03-Jan-2016 02:00,0.948,20.6,22.4,1015.4,-0.038,-0.016,140,6.6,4.3,
03-Jan-2016 03:00,1.07,20.4,22,1014.9,-0.038,-0.017,139,6.8,3.8,
03-Jan-2016 04:00,1.148,20.4,21.8,1015,-0.039,-0.022,140,6.4,4.3,
03-Jan-2016 05:00,1.147,20.5,22.2,1015,-0.049,-0.032,164,6.2,2.7,
03-Jan-2016 06:00,1.08,20.6,22.3,1015,-0.047,-0.03,168,5.4,2.7,
03-Jan-2016 07:00,0.956,20.6,21.9,1015,-0.04,-0.023,164,5.7,3,
03-Jan-2016 08:00,0.791,20.6,21.7,1015.5,-0.041,-0.023,125,5,3.1,
03-Jan-2016 09:00,0.62,20.6,21.4,1015.8,-0.053,-0.031,145,5.1,2.6,
03-Jan-2016 10:00,0.508,20.6,21.1,1016,-0.047,-0.022,139,5.5,3,
03-Jan-2016 11:00,0.457,20.6,19.2,1016.6,-0.051,-0.023,192,7.9,1.4,
03-Jan-2016 12:00,0.504,20.7,20.9,1016.7,-0.043,-0.009,138,6.9,4,
03-Jan-2016 13:00,0.636,20.7,20.8,1016.2,-0.031,0.003,153,5.2,1.9,
03-Jan-2016 14:00,0.812,20.7,20,1016.1,-0.029,0,169,4.6,2.8,
03-Jan-2016 15:00,0.999,20.7,19.8,1015.8,-0.035,-0.007,162,7.2,2.3,
03-Jan-2016 16:00,1.168,20.7,19.6,1015.4,-0.036,-0.01,208,7.9,1.5,
03-Jan-2016 17:00,1.281,20.7,19.9,1014.9,-0.03,-0.009,166,3.8,1.8,
03-Jan-2016 18:00,1.301,20.7,19.9,1015.1,-0.032,-0.016,189,3.9,1.5,
03-Jan-2016 19:00,1.224,20.7,19.2,1015.6,-0.046,-0.027,213,5.6,2.3,
03-Jan-2016 20:00,1.086,20.7,19.5,1015.9,-0.055,-0.031,224,4.4,3.4,
03-Jan-2016 21:00,0.929,20.7,19.3,1016.6,-0.051,-0.024,206,5.1,2.1,
03-Jan-2016 22:00,0.772,20.7,19.4,1017,-0.056,-0.022,217,4.7,3,
