DATE,TIME,VCUR_ROT_int,UCUR_ROT_int,UCURrot_11m,VCURrot_11m,UCURrot_15m,VCURrot_15m
2016-03-01,736390.4167,-0.256, 0.054, 0.011,-0.387, 0.026,-0.362
2016-03-02,736391.4167,-0.362, 0.183, 0.249,-0.436, 0.222,-0.430
2016-03-03,736392.4167,-0.495, 0.181, 0.200,-0.781, 0.222,-0.743
2016-03-04,736393.4167,-0.403, 0.180, 0.163,-0.519, 0.194,-0.513
2016-03-05,736394.4167,-0.448, 0.212, 0.196,-0.604, 0.256,-0.601
2016-03-06,736395.4167,-0.313, 0.070, 0.045,-0.549, 0.047,-0.529
2016-03-07,736396.4167,-0.329, 0.154, 0.076,-0.419, 0.128,-0.417
2016-03-08,736397.4167,-0.412, 0.212, 0.114,-0.538, 0.263,-0.550
2016-03-09,736398.4167,-0.435, 0.241, 0.060,-0.559, 0.321,-0.601
2016-03-10,736399.4167,-0.336, 0.152, 0.114,-0.441, 0.169,-0.439
2016-03-11,736400.4167,-0.341, 0.172, 0.122,-0.367, 0.175,-0.386
2016-03-12,736401.4167,-0.469, 0.298, 0.139,-0.376, 0.390,-0.672
2016-03-13,736402.4167,-0.433, 0.109, 0.044,-0.776, 0.112,-0.781
2016-03-14,736403.4167,-0.237, 0.106, 0.095,-0.310, 0.098,-0.278
2016-03-15,736404.4167,-0.303, 0.142, 0.185,-0.633, 0.208,-0.617
2016-03-16,736405.4167,-0.269, 0.150, 0.157,-0.421, 0.160,-0.422
2016-03-17,736406.4167,-0.206,-0.002,-0.015,-0.343,-0.019,-0.336
2016-03-18,736407.4167,-0.197, 0.066, 0.091,-0.291, 0.086,-0.288
2016-03-19,736408.4167,-0.244, 0.152, 0.255,-0.516, 0.280,-0.496
2016-03-20,736409.4167,-0.102, 0.079, 0.136,-0.277, 0.154,-0.289
2016-03-21,736410.4167,-0.157, 0.067,-0.002,-0.206, 0.014,-0.214
2016-03-22,736411.4167,-0.037,-0.044,-0.102,-0.079,-0.101,-0.083
2016-03-23,736412.4167,-0.145, 0.001,-0.071,-0.182,-0.069,-0.177
2016-03-24,736413.4167,-0.326, 0.143, 0.204,-0.504, 0.214,-0.473
2016-03-25,736414.4167,-0.335, 0.152, 0.174,-0.540, 0.200,-0.517
2016-03-26,736415.4167,-0.251, 0.116, 0.141,-0.384, 0.142,-0.382
2016-03-27,736416.4167,-0.271, 0.097, 0.083,-0.421, 0.095,-0.425
2016-03-28,736417.4167,-0.261, 0.051, 0.022,-0.447, 0.036,-0.428
2016-03-29,736418.4167,-0.344, 0.149, 0.163,-0.515, 0.176,-0.498
2016-03-30,736419.4167,-0.485, 0.242, 0.138,-0.623, 0.296,-0.653
2016-03-31,736420.4167,-0.546, 0.235, 0.062,-0.720, 0.268,-0.764
2016-04-01,736421.4167,-0.563, 0.248, 0.111,-0.671, 0.331,-0.750
2016-04-02,736422.4167,-0.540, 0.160, 0.127,-0.696, 0.195,-0.737
2016-04-03,736423.4167,-0.434, 0.130, 0.144,-0.658, 0.136,-0.663
2016-04-04,736424.4167,-0.388, 0.147, 0.189,-0.551, 0.185,-0.556
2016-04-05,736425.4167,-0.334, 0.102, 0.223,-0.536, 0.212,-0.527
2016-04-06,736426.4167,-0.191, 0.050, 0.066,-0.356, 0.067,-0.358
2016-04-07,736427.4167,-0.047, 0.028, 0.148,-0.209, 0.140,-0.206
2016-04-08,736428.4167, 0.075, 0.076, 0.085, 0.004, 0.077, 0.008
2016-04-09,736429.4167, 0.134,-0.225,-0.330, 0.058,-0.312, 0.064
2016-04-10,736430.4167, 0.032, 0.016, 0.020, 0.001, 0.022, 0.003
2016-04-11,736431.4167, 0.037, 0.061, 0.133,-0.006, 0.136,-0.006
2016-04-12,736432.4167, 0.091,-0.032,-0.012, 0.079,-0.008, 0.078
2016-04-13,736433.4167, 0.058,-0.013,-0.016, 0.069,-0.015, 0.069
2016-04-14,736434.4167, 0.043,-0.017, 0.003, 0.049, 0.004, 0.050
2016-04-15,736435.4167,-0.139, 0.039, 0.075,-0.125, 0.064,-0.117
2016-04-16,736436.4167,-0.125, 0.023,-0.027,-0.124,-0.031,-0.144
2016-04-17,736437.4167,-0.029,-0.006,-0.017,-0.041,-0.017,-0.045
2016-04-18,736438.4167, 0.014,-0.006,-0.013, 0.005,-0.011, 0.003
2016-04-19,736439.4167,-0.057, 0.011, 0.059,-0.057, 0.055,-0.063
2016-04-20,736440.4167,-0.096, 0.033, 0.087,-0.096, 0.088,-0.095
2016-04-21,736441.4167,-0.227, 0.025, 0.003,-0.256,-0.002,-0.258
2016-04-22,736442.4167,-0.115, 0.011,-0.095,-0.124,-0.078,-0.125
2016-04-23,736443.4167, 0.168,-0.021,-0.078, 0.174,-0.060, 0.168
2016-04-24,736444.4167, 0.106,-0.018,-0.014, 0.103,-0.002, 0.105
2016-04-25,736445.4167, 0.024,-0.021, 0.027, 0.036, 0.026, 0.036
2016-04-26,736446.4167, 0.021,-0.027, 0.005,-0.030, 0.005,-0.024
2016-04-27,736447.4167,-0.103,-0.003, 0.053,-0.131, 0.040,-0.129
2016-04-28,736448.4167,-0.149, 0.017, 0.030,-0.158, 0.027,-0.175
2016-04-29,736449.4167,-0.153, 0.019, 0.097,-0.199, 0.059,-0.204
