DATE,TIME,VCUR_ROT_int,UCUR_ROT_int,VCURrot_7m,UCURrot_7m,VCURrot_11m,UCURrot_11m,VCURrot_61m,UCURrot_61m,VCUR_int,UCUR_int,VCUR_7m,UCUR_7m,VCUR_11m,UCUR_11m,VCUR_61m,UCUR_61m
2016-03-01-10,736390.4167,-0.090, 0.003,-0.144,-0.028,-0.068,-0.027,-0.110,-0.002,-0.088,-0.020,-0.132,-0.064,-0.059,-0.044,-0.106,-0.031
2016-03-01-11,736390.4583,-0.096,-0.006,-0.132,-0.010,-0.104,-0.015,-0.125,-0.015,-0.091,-0.030,-0.125,-0.044,-0.097,-0.042,-0.117,-0.047
2016-03-01-12,   736390.5,-0.117,-0.011,-0.132, 0.034,-0.110, 0.017,-0.110,-0.010,-0.110,-0.041,-0.137,-0.001,-0.110,-0.012,-0.103,-0.038
2016-03-01-13,736390.5417,-0.148,-0.024,-0.097, 0.081,-0.067, 0.043,-0.099,-0.047,-0.137,-0.061,-0.114, 0.053,-0.076, 0.024,-0.084,-0.071
2016-03-01-14,736390.5833,-0.180,-0.025,-0.067, 0.059,-0.044, 0.008,-0.141,-0.089,-0.167,-0.071,-0.080, 0.040,-0.045,-0.004,-0.113,-0.122
2016-03-01-15, 736390.625,-0.208,-0.023,-0.060, 0.037,-0.047,-0.024,-0.178,-0.063,-0.194,-0.076,-0.067, 0.020,-0.039,-0.035,-0.156,-0.107
2016-03-01-16,736390.6667,-0.209,-0.020,-0.061,-0.022,-0.054,-0.066,-0.109,-0.024,-0.196,-0.074,-0.053,-0.037,-0.035,-0.078,-0.099,-0.052
2016-03-01-17,736390.7083,-0.212,-0.040,-0.060,-0.021,-0.082,-0.090,-0.098,-0.056,-0.195,-0.093,-0.052,-0.036,-0.056,-0.108,-0.080,-0.080
2016-03-01-18,  736390.75,-0.216,-0.047,-0.051, 0.012,-0.119,-0.069,-0.131,-0.064,-0.197,-0.102,-0.052,-0.002,-0.097,-0.097,-0.110,-0.096
2016-03-01-19,736390.7917,-0.228, 0.002,-0.040, 0.116,-0.084, 0.049,-0.161,-0.042,-0.221,-0.057,-0.068, 0.101,-0.094, 0.026,-0.145,-0.083
2016-03-01-20,736390.8333,-0.242,-0.022,-0.123, 0.069,-0.086,-0.063,-0.124,-0.033,-0.228,-0.084,-0.137, 0.034,-0.066,-0.083,-0.112,-0.064
2016-03-01-21, 736390.875,-0.269,-0.042,-0.148, 0.022,-0.224,-0.065,-0.096, 0.006,-0.249,-0.110,-0.149,-0.017,-0.199,-0.121,-0.094,-0.019
2016-03-01-22,736390.9167,-0.292,-0.050,-0.193, 0.013,-0.288,-0.052,-0.078, 0.013,-0.269,-0.124,-0.189,-0.037,-0.265,-0.125,-0.079,-0.007
2016-03-01-23,736390.9583,-0.308,-0.028,-0.241,-0.025,-0.272,-0.084,-0.094, 0.075,-0.290,-0.107,-0.226,-0.086,-0.241,-0.152,-0.110, 0.048
2016-03-02-00,     736391,-0.321,-0.027,-0.288,-0.008,-0.355,-0.088,-0.077, 0.063,-0.304,-0.109,-0.276,-0.083,-0.320,-0.176,-0.090, 0.041
