DATE,TIME,VCUR_ROT_int,UCUR_ROT_int,VCURrot_11m,UCURrot_11m,VCURrot_95m,UCURrot_95m,VCUR_int,UCUR_int,VCUR_11m,UCUR_11m,VCUR_95m,UCUR_95m
2016-03-01-10,736390.4167,-0.297, 0.125,-0.356, 0.073,-0.092, 0.119,-0.322, 0.021,-0.360,-0.047,-0.126, 0.083
2016-03-01-11,736390.4583,-0.292, 0.121,-0.341, 0.037,-0.061, 0.087,-0.316, 0.020,-0.335,-0.076,-0.086, 0.062
2016-03-01-12,   736390.5,-0.293, 0.119,-0.335,-0.002,-0.089, 0.122,-0.316, 0.017,-0.316,-0.110,-0.124, 0.086
2016-03-01-13,736390.5417,-0.279, 0.110,-0.297, 0.029,-0.084, 0.103,-0.300, 0.013,-0.290,-0.069,-0.113, 0.070
2016-03-01-14,736390.5833,-0.272, 0.114,-0.276, 0.034,-0.099, 0.120,-0.295, 0.019,-0.272,-0.058,-0.133, 0.081
2016-03-01-15, 736390.625,-0.276, 0.111,-0.282, 0.069,-0.086, 0.100,-0.297, 0.016,-0.289,-0.026,-0.114, 0.067
2016-03-01-16,736390.6667,-0.271, 0.103,-0.312, 0.112,-0.078, 0.075,-0.290, 0.009,-0.331, 0.004,-0.098, 0.046
2016-03-01-17,736390.7083,-0.260, 0.083,-0.380,-0.197,-0.111, 0.175,-0.273,-0.006,-0.295,-0.310,-0.162, 0.129
2016-03-01-18,  736390.75,-0.274, 0.112,-0.511,-0.131,-0.134, 0.162,-0.295, 0.017,-0.440,-0.290,-0.180, 0.110
2016-03-01-19,736390.7917,-0.270, 0.085,-0.600, 0.004,-0.121, 0.131,-0.283,-0.007,-0.568,-0.192,-0.157, 0.085
2016-03-01-20,736390.8333,-0.300, 0.075,-0.628, 0.167,-0.097, 0.095,-0.308,-0.027,-0.649,-0.046,-0.123, 0.058
2016-03-01-21, 736390.875,-0.289, 0.044,-0.618, 0.154,-0.077, 0.053,-0.288,-0.053,-0.635,-0.056,-0.090, 0.025
2016-03-01-22,736390.9167,-0.273, 0.012,-0.542, 0.167,-0.091, 0.070,-0.262,-0.078,-0.567,-0.019,-0.109, 0.037
2016-03-01-23,736390.9583,-0.277,-0.003,-0.489, 0.033,-0.119, 0.118,-0.261,-0.093,-0.473,-0.128,-0.151, 0.073
2016-03-02-00,     736391,-0.262,-0.012,-0.476,-0.069,-0.122, 0.124,-0.244,-0.096,-0.428,-0.221,-0.156, 0.078
2016-03-02-01,736391.0417,-0.251,-0.006,-0.421,-0.009,-0.107, 0.093,-0.235,-0.088,-0.395,-0.146,-0.131, 0.054
2016-03-02-02,736391.0833,-0.256, 0.010,-0.370,-0.045,-0.064, 0.060,-0.246,-0.074,-0.335,-0.163,-0.080, 0.036
