simul,total obs,diff/month
17_randeg_CD01_konsole.csv,4518,0.5208116877
17_justwinds_0deg_CD01_konsole.csv,6224,0.6265640209
17_randeg_CD015_konsole.csv,3382,0.6475514814
17_varydeg_CD02_konsole.csv,2755,0.6539424088
17_justwinds_randeg_CD01_konsole.csv,4998,0.6845891138
17_varydeg_CD015_konsole.csv,3761,0.8005774741
17_randeg_CD04_konsole.csv,950,0.8695037545
17_0deg_CD03_konsole.csv,1608,0.9079278787
17_randeg_CD02_konsole.csv,2620,0.9138619285
17_varydeg_CD03_konsole.csv,1533,0.9889786232
17_varydeg_CD01_konsole.csv,5042,0.9902856607
17_varydeg_CD04_konsole.csv,989,1.0327925219
17_justwinds_randeg_cay1_konsole.csv,8865,1.1336574836
17_0deg_CD01_konsole.csv,4530,1.1566394282
17_0deg_CD02_konsole.csv,2773,1.23116562
17_randeg_CD03_konsole.csv,1512,1.2691613444
17_randeg_CD03_konsole.csv,1512,1.2691613444
17_0deg_CD015_konsole.csv,3852,1.403367685
17_0deg_CD04_konsole.csv,950,1.4880408839
17_randeg_CD005_konsole.csv,6290,1.5978801318
17_0deg_CD005_konsole.csv,6195,1.6697778993
17_varydeg_CD004_konsole.csv,6820,1.7105934985
17_0deg_cay1_konsole.csv,6445,1.7387484441
17_randeg_cay1_konsole.csv,6445,1.7387484441
17_0deg_CD004_konsole.csv,6483,1.7680961928
17_varydeg_cay05_konsole.csv,7072,1.8987102861
17_randeg_CD004_konsole.csv,6611,1.9965005471
17_randeg_CD004_konsole.csv,6611,1.9965005471
17_0deg_cay05_konsole.csv,6137,2.0337076251
17_randeg_cay05_konsole.csv,6879,2.2744409012
17_advection_konsole.csv,6103,3.2300131287
